Among_Us: Party, Multiplayer, Social
Animal_Crossing: Simulation, Social, Sandbox
Apex_Legends: BattleRoyale, Shooter, Multiplayer
Assassin's_Creed: Action, Adventure, OpenWorld
Astroneer: Sandbox, Adventure, Exploration
Axiom_Verge: Metroidvania, Action, Indie
Bastion: Action, RPG, Indie
Bayonetta: Action, HackAndSlash
BioShock: FPS, Horror, StoryRich
Blasphemous: Metroidvania, Action, Platformer
Borderlands_3: FPS, Loot, Shooter
Call_of_Duty_Warzone: BattleRoyale, Shooter, FPS
Celeste: Platformer, Adventure, Indie
Celeste: Platformer, Indie, StoryRich
Children_of_Morta: Action, RPG, Roguelike
Control: Action, Adventure, Supernatural
Cult_Of_The_Lamb: Roguelike, Action, Farming
Cuphead: Platformer, Action, Indie
Cyberpunk_2077: RPG, OpenWorld, SciFi
Dark_Souls: Action, RPG, Adventure
Darkest_Dungeon: Roguelike, RPG, Strategy
Dead_Cells: Roguelike, Metroidvania, Action
Death_Stranding: Action, Adventure, StoryRich
Destiny_2: FPS, MMO, SciFi
Diablo_III: Action, RPG, HackAndSlash
Dishonored: Action, Stealth, StoryRich
Divinity_Original_Sin_2: RPG, CoOp, Fantasy
Doom_Eternal: FPS, Shooter, Gore
Don't_Starve: Survival, Adventure, Sandbox
Dragon_Age_Inquisition: RPG, Fantasy, StoryRich
Enter_The_Gungeon: Roguelike, Shooter, Action
Factorio: Simulation, Strategy, Management
Fallout_4: RPG, OpenWorld, PostApocalyptic
Far_Cry_5: FPS, OpenWorld, Shooter
Final_Fantasy_XV: RPG, OpenWorld, Fantasy
Firewatch: Adventure, StoryRich, Mystery
Forager: Adventure, Sandbox, Indie
Fortnite: BattleRoyale, Shooter, Building
FTL:_Faster_Than_Light: Roguelike, Strategy, Simulation
Ghost_of_Tsushima: Action, OpenWorld, Samurai
God_of_War: Action, Adventure, Mythology
Grand_Theft_Auto_V: OpenWorld, Crime, StoryRich
Graveyard_Keeper: Simulation, RPG, Management
Hades: Roguelike, Action, RPG
Hollow_Knight: Metroidvania, Platformer, Adventure
Horizon_Zero_Dawn: Action, RPG, OpenWorld
Hyper_Light_Drifter: Action, Adventure, Indie
Into_the_Breach: Strategy, Roguelike, Indie
Journey: Adventure, Indie, Artistic
Katana_ZERO: Action, Platformer, Indie
League_of_Legends: MOBA, Strategy, Multiplayer
Left_4_Dead_2: CoOp, FPS, Zombies
Luigi's_Mansion: Adventure, Action, Puzzle
Mass_Effect_Trilogy: RPG, SciFi, StoryRich
Metal_Gear_Solid_V: Stealth, Action, OpenWorld
Minecraft: Sandbox, Survival, Adventure
Monster_Hunter_World: Action, RPG, CoOp
Moonlighter: Action, RPG, Roguelike
My_Time_at_Portia: Simulation, RPG, Adventure
No_Man's_Sky: Exploration, Survival, Sandbox
Nuclear_Throne: Roguelike, Shooter, Action
Ori_and_the_Blind_Forest: Platformer, Adventure, Indie
Overwatch: Shooter, TeamBased, Multiplayer
Oxygen_Not_Included: Simulation, Strategy, Survival
Paper_Mario: RPG, Adventure, Action
Persona_5: RPG, TurnBased, Anime
Portal_2: Puzzle, CoOp, StoryRich
Red_Dead_Redemption_2: OpenWorld, Western, StoryRich
Resident_Evil_2_Remake: Horror, Survival, Action
RimWorld: Simulation, Strategy, Management
Risk_of_Rain_2: Roguelike, Action, Shooter
Rogue_Legacy: Roguelike, Platformer, Action
Salt_and_Sanctuary: Metroidvania, Action, RPG
Sekiro_Shadows_Die_Twice: Action, Samurai, Difficult
Shadow_of_the_Tomb_Raider: Action, Adventure, Puzzle
Slay_the_Spire: Roguelike, CardGame, Strategy
Slime_Rancher: Farming, Adventure, Sandbox
Spelunky: Roguelike, Platformer, Adventure
Spiritfarer: Simulation, Adventure, Indie
Star_Wars_Jedi_Fallen_Order: Action, SciFi, StoryRich
Stardew_Valley: Farming, RPG, Sandbox, DatingSim
Subnautica: Survival, Adventure, Exploration
Super_Mario_3D_World: Platformer, Adventure, Action
Super_Mario_Bros: Platformer, Adventure, Action
Super_Mario_Galaxy: Platformer, Adventure, Action
Super_Mario_Odyssey: Platformer, Adventure, Action
Terraria: Sandbox, Adventure, Survival
The_Binding_of_Isaac: Roguelike, Action, Indie
The_Elder_Scrolls_V_Skyrim: OpenWorld, RPG, Fantasy
The_Last_of_Us_Part_II: Action, Adventure, StoryRich
The_Legend_of_Zelda_Breath_of_the_Wild: OpenWorld, Fantasy, Adventure
The_Outer_Worlds: RPG, SciFi, OpenWorld
The_Stanley_Parable: Adventure, Indie, StoryRich
The_Witcher_3: RPG, Adventure, OpenWorld
Thumper: Rhythm, Action, Indie
Undertale: RPG, Indie, StoryRich
Valheim: Survival, OpenWorld, CoOp
Warframe: Action, RPG, Shooter
XCOM_2: Strategy, TurnBased, SciFi
Yakuza_0: Action, Adventure, RPG
